,item,item_code
75767,تَکرار,20411
75846,تکرار,20436
75976,رسانه_میلی,25633
76035,مرگ_بر_اسرائیل,36854
76370,Japan,3897
76417,asia,8260
76420,اخلاق,13048
76525,ازماست_که_برماست,13424
76531,استمرار,13654
76539,اسرائیل,13723
77127,اسطوره,13747
77159,اصطلاحات,13973
77162,اصلاح_طلبی,14017
77224,اصلاحات,14020
77616,اصولگرا,14068
77783,اعتقاد,14244
77805,اقتصادی,14483
77971,انتقاد,15987
78033,تغییر_رژیم,19844
78068,جمهوری_اسلامی,21068
78704,حداد,21775
78714,حسرت,21931
78756,حمایت,22368
78887,حمله,22409
78941,خاتمی,22616
79497,خون,23450
79571,دفاع,24314
79629,دل,24343
79722,دوم_خرداد,24809
79845,دگرگونی,24968
79849,روسیه,26492
80167,سال88,27489
80171,سبز,27640
80237,شعار,29814
80306,شیزوفرنی,30638
80309,صداسیما,30831
80345,ظلم,31359
80479,عمه,32358
80489,فاسد,32777
80556,فریدون,33431
80604,فعلا,33549
80609,قدرت,34070
80717,ماه_مبارک_رمضان,35563
80741,مبارزه,35648
80806,محمدثلاث,36213
80892,مسیحا,37200
80896,مصادره,37310
80913,مفسد,37608
80921,مفسد_اقتصادی,37609
80940,مملکته,37816
80958,منتقد,38034
80983,مهندس,38335
81055,موشک,38483
81333,مژده,38617
81345,نرمش_قهرمانانه,39293
81371,نظام_مقدس,39437
81378,هسته_ای,40506
81416,واعظی,41074
81472,پمپئو,42617
82030,چرا,43138
82065,یاحسین_میرحسین,45349
82074,یادآر,45362
82174,positive,10359
82181,Irn,3787
82191,WorldCup,7913
82430,حافظ,21622
82979,حسین_منزوی,22075
83124,سعدى,28060
83312,سهراب_سپهری,28580
83492,سونا,28747
83495,فاشیسم,32782
83537,محتشم_کاشانی,35933
83554,ملت_عشق,37733
83577,گلستان_سعدی,45057
83587,نوبت_جوانان,39933
83608,صبح_شما_هم_بخیر,30786
83818,دانشجو_محور_گام_دوم,23740
